db,model,auc
glass-0-1-4-6_vs_2,manhattanBRM,0.6351351351351351
glass-0-1-4-6_vs_2,cosineBRM,0.6081081081081081
glass-0-1-4-6_vs_2,chebyshevBRM,0.6148648648648648
glass-0-1-2-3_vs_4-5-6,BRM,0.24147727272727273
glass-0-1-2-3_vs_4-5-6,GMM,0.24431818181818182
glass-0-1-2-3_vs_4-5-6,ISOF,0.3039772727272727
glass-0-1-2-3_vs_4-5-6,OCSVM,0.2471590909090909
glass-0-1-2-3_vs_4-5-6,manhattanBRM,0.25568181818181823
glass-0-1-2-3_vs_4-5-6,cosineBRM,0.23579545454545453
glass-0-1-2-3_vs_4-5-6,chebyshevBRM,0.23863636363636362
flare-F,BRM,0.18644986449864498
flare-F,GMM,0.7195121951219512
flare-F,ISOF,0.3100271002710027
flare-F,OCSVM,0.2829268292682927
flare-F,manhattanBRM,0.1869918699186992
flare-F,cosineBRM,0.2021680216802168
flare-F,chebyshevBRM,0.18482384823848239
ecoli4,BRM,0.203125
ecoli4,GMM,0.6796875
ecoli4,ISOF,0.5390625
ecoli4,OCSVM,0.2109375
ecoli4,manhattanBRM,0.1875
ecoli4,cosineBRM,0.4296875
ecoli4,chebyshevBRM,0.22265625
ecoli3,BRM,0.477751756440281
ecoli3,GMM,0.5245901639344263
ecoli3,ISOF,0.43911007025761123
ecoli3,OCSVM,0.30093676814988285
ecoli3,manhattanBRM,0.48009367681498827
ecoli3,cosineBRM,0.7868852459016393
ecoli3,chebyshevBRM,0.5058548009367682
ecoli2,BRM,0.43540669856459335
ecoli2,GMM,0.5350877192982456
ecoli2,ISOF,0.507177033492823
ecoli2,OCSVM,0.401116427432217
ecoli2,manhattanBRM,0.4114832535885168
ecoli2,cosineBRM,0.32216905901116427
ecoli2,chebyshevBRM,0.4354066985645933
ecoli1,BRM,0.3918269230769231
ecoli1,GMM,0.860576923076923
ecoli1,ISOF,0.4951923076923077
ecoli1,OCSVM,0.3894230769230769
ecoli1,manhattanBRM,0.3798076923076923
ecoli1,cosineBRM,0.6490384615384615
ecoli1,chebyshevBRM,0.41225961538461536
ecoli-0_vs_1,BRM,0.7379310344827587
ecoli-0_vs_1,GMM,0.5
ecoli-0_vs_1,ISOF,0.5827586206896552
ecoli-0_vs_1,OCSVM,0.6091954022988506
ecoli-0_vs_1,manhattanBRM,0.7563218390804598
ecoli-0_vs_1,cosineBRM,0.49425287356321834
ecoli-0_vs_1,chebyshevBRM,0.7264367816091953
ecoli-0-6-7_vs_5,BRM,0.16875
ecoli-0-6-7_vs_5,GMM,0.5375
ecoli-0-6-7_vs_5,ISOF,0.625
ecoli-0-6-7_vs_5,OCSVM,0.45000000000000007
ecoli-0-6-7_vs_5,manhattanBRM,0.14375
ecoli-0-6-7_vs_5,cosineBRM,0.3625
ecoli-0-6-7_vs_5,chebyshevBRM,0.175
ecoli-0-6-7_vs_3-5,BRM,0.025
ecoli-0-6-7_vs_3-5,GMM,0.55
ecoli-0-6-7_vs_3-5,ISOF,0.25
ecoli-0-6-7_vs_3-5,OCSVM,0.33749999999999997
ecoli-0-6-7_vs_3-5,manhattanBRM,0.010000000000000009
ecoli-0-6-7_vs_3-5,cosineBRM,0.11499999999999999
ecoli-0-6-7_vs_3-5,chebyshevBRM,0.045
ecoli-0-4-6_vs_5,BRM,0.19594594594594594
ecoli-0-4-6_vs_5,GMM,0.5
ecoli-0-4-6_vs_5,ISOF,0.20608108108108109
ecoli-0-4-6_vs_5,OCSVM,0.40878378378378377
ecoli-0-4-6_vs_5,manhattanBRM,0.19594594594594594
ecoli-0-4-6_vs_5,cosineBRM,0.3716216216216216
ecoli-0-4-6_vs_5,chebyshevBRM,0.23648648648648646
ecoli-0-3-4_vs_5,BRM,0.2638888888888889
ecoli-0-3-4_vs_5,GMM,0.19444444444444442
ecoli-0-3-4_vs_5,ISOF,0.3472222222222222
ecoli-0-3-4_vs_5,OCSVM,0.29166666666666663
ecoli-0-3-4_vs_5,manhattanBRM,0.25
ecoli-0-3-4_vs_5,cosineBRM,0.41666666666666663
ecoli-0-3-4_vs_5,chebyshevBRM,0.2916666666666667
ecoli-0-3-4-7_vs_5-6,BRM,0.2978723404255319
ecoli-0-3-4-7_vs_5-6,GMM,0.3
ecoli-0-3-4-7_vs_5-6,ISOF,0.29574468085106387
ecoli-0-3-4-7_vs_5-6,OCSVM,0.4085106382978723
ecoli-0-3-4-7_vs_5-6,manhattanBRM,0.2851063829787234
ecoli-0-3-4-7_vs_5-6,cosineBRM,0.3574468085106383
ecoli-0-3-4-7_vs_5-6,chebyshevBRM,0.3148936170212766
ecoli-0-3-4-6_vs_5,BRM,0.2162162162162162
ecoli-0-3-4-6_vs_5,GMM,0.597972972972973
ecoli-0-3-4-6_vs_5,ISOF,0.4560810810810811
ecoli-0-3-4-6_vs_5,OCSVM,0.21621621621621623
ecoli-0-3-4-6_vs_5,manhattanBRM,0.17567567567567566
ecoli-0-3-4-6_vs_5,cosineBRM,0.2635135135135135
ecoli-0-3-4-6_vs_5,chebyshevBRM,0.21621621621621623
ecoli-0-2-6-7_vs_3-5,BRM,0.14000000000000004
ecoli-0-2-6-7_vs_3-5,GMM,0.5
ecoli-0-2-6-7_vs_3-5,ISOF,0.3375
ecoli-0-2-6-7_vs_3-5,OCSVM,0.175
ecoli-0-2-6-7_vs_3-5,manhattanBRM,0.08499999999999999
ecoli-0-2-6-7_vs_3-5,cosineBRM,0.28500000000000003
ecoli-0-2-6-7_vs_3-5,chebyshevBRM,0.175
ecoli-0-2-3-4_vs_5,BRM,0.14864864864864863
ecoli-0-2-3-4_vs_5,GMM,0.44594594594594594
ecoli-0-2-3-4_vs_5,ISOF,0.10810810810810811
ecoli-0-2-3-4_vs_5,OCSVM,0.24324324324324326
ecoli-0-2-3-4_vs_5,manhattanBRM,0.14864864864864866
ecoli-0-2-3-4_vs_5,cosineBRM,0.23648648648648649
ecoli-0-2-3-4_vs_5,chebyshevBRM,0.14189189189189189
ecoli-0-1_vs_5,BRM,0.28409090909090906
ecoli-0-1_vs_5,GMM,0.5
ecoli-0-1_vs_5,ISOF,0.32954545454545453
ecoli-0-1_vs_5,OCSVM,0.375
ecoli-0-1_vs_5,manhattanBRM,0.2443181818181818
ecoli-0-1_vs_5,cosineBRM,0.3636363636363636
ecoli-0-1_vs_5,chebyshevBRM,0.2954545454545454
ecoli-0-1_vs_2-3-5,BRM,0.21818181818181814
ecoli-0-1_vs_2-3-5,GMM,0.5
ecoli-0-1_vs_2-3-5,ISOF,0.17954545454545454
ecoli-0-1_vs_2-3-5,OCSVM,0.26136363636363635
ecoli-0-1_vs_2-3-5,manhattanBRM,0.1727272727272727
ecoli-0-1_vs_2-3-5,cosineBRM,0.29545454545454547
ecoli-0-1_vs_2-3-5,chebyshevBRM,0.2272727272727273
ecoli-0-1-4-7_vs_5-6,BRM,0.27419354838709675
ecoli-0-1-4-7_vs_5-6,GMM,0.4080645161290323
ecoli-0-1-4-7_vs_5-6,ISOF,0.39677419354838717
ecoli-0-1-4-7_vs_5-6,OCSVM,0.4419354838709677
ecoli-0-1-4-7_vs_5-6,manhattanBRM,0.2774193548387097
ecoli-0-1-4-7_vs_5-6,cosineBRM,0.35161290322580646
ecoli-0-1-4-7_vs_5-6,chebyshevBRM,0.2870967741935484
ecoli-0-1-4-7_vs_2-3-5-6,BRM,0.2876344086021505
ecoli-0-1-4-7_vs_2-3-5-6,GMM,0.20161290322580644
ecoli-0-1-4-7_vs_2-3-5-6,ISOF,0.3709677419354839
ecoli-0-1-4-7_vs_2-3-5-6,OCSVM,0.4569892473118279
ecoli-0-1-4-7_vs_2-3-5-6,manhattanBRM,0.25806451612903225
ecoli-0-1-4-7_vs_2-3-5-6,cosineBRM,0.3091397849462365
ecoli-0-1-4-7_vs_2-3-5-6,chebyshevBRM,0.2661290322580645
ecoli-0-1-4-6_vs_5,BRM,0.1923076923076923
ecoli-0-1-4-6_vs_5,GMM,0.49038461538461536
ecoli-0-1-4-6_vs_5,ISOF,0.20192307692307693
ecoli-0-1-4-6_vs_5,OCSVM,0.22115384615384615
ecoli-0-1-4-6_vs_5,manhattanBRM,0.16826923076923078
ecoli-0-1-4-6_vs_5,cosineBRM,0.32692307692307687
ecoli-0-1-4-6_vs_5,chebyshevBRM,0.20192307692307693
ecoli-0-1-3-7_vs_2-6,BRM,0.11818181818181822
ecoli-0-1-3-7_vs_2-6,GMM,0.9909090909090909
ecoli-0-1-3-7_vs_2-6,ISOF,0.08181818181818185
ecoli-0-1-3-7_vs_2-6,OCSVM,0.2272727272727273
ecoli-0-1-3-7_vs_2-6,manhattanBRM,0.11818181818181822
ecoli-0-1-3-7_vs_2-6,cosineBRM,0.04545454545454547
ecoli-0-1-3-7_vs_2-6,chebyshevBRM,0.12727272727272732
dermatology-6,BRM,0.32352941176470584
dermatology-6,GMM,0.8014705882352942
dermatology-6,ISOF,0.22058823529411764
dermatology-6,OCSVM,0.21323529411764708
dermatology-6,manhattanBRM,0.2610294117647059
dermatology-6,cosineBRM,0.22794117647058826
dermatology-6,chebyshevBRM,0.25183823529411764
cleveland-0_vs_4,BRM,0.05208333333333333
cleveland-0_vs_4,GMM,0.7552083333333333
cleveland-0_vs_4,ISOF,0.15625
cleveland-0_vs_4,OCSVM,0.44791666666666663
cleveland-0_vs_4,manhattanBRM,0.0
cleveland-0_vs_4,cosineBRM,0.09375
cleveland-0_vs_4,chebyshevBRM,0.09375
car-vgood,BRM,0.5015015015015015
car-vgood,GMM,0.3483483483483484
car-vgood,ISOF,0.5
car-vgood,OCSVM,0.5174405174405174
car-vgood,manhattanBRM,0.5015015015015015
car-vgood,cosineBRM,0.503003003003003
car-vgood,chebyshevBRM,0.5
car-good,BRM,0.5
car-good,GMM,0.5331325301204819
car-good,ISOF,0.5
car-good,OCSVM,0.5413080895008605
car-good,manhattanBRM,0.5045180722891567
car-good,cosineBRM,0.5015060240963856
car-good,chebyshevBRM,0.5
abalone9-18,BRM,0.11594202898550723
abalone9-18,GMM,0.4842995169082126
abalone9-18,ISOF,0.21256038647342995
abalone9-18,OCSVM,0.3683574879227054
abalone9-18,manhattanBRM,0.1457326892109501
abalone9-18,cosineBRM,0.13687600644122383
abalone9-18,chebyshevBRM,0.12399355877616747
abalone19,BRM,0.34780860474467234
abalone19,GMM,0.6562123039806996
abalone19,ISOF,0.6103739445114595
abalone19,OCSVM,0.7503015681544029
abalone19,manhattanBRM,0.37675914756735024
abalone19,cosineBRM,0.3383594692400482
abalone19,chebyshevBRM,0.38098110172899075
abalone-3_vs_11,BRM,0.6700680272108843
abalone-3_vs_11,GMM,0.5578231292517006
abalone-3_vs_11,ISOF,0.10204081632653061
abalone-3_vs_11,OCSVM,0.27040816326530615
abalone-3_vs_11,manhattanBRM,0.7074829931972789
abalone-3_vs_11,cosineBRM,0.21088435374149658
abalone-3_vs_11,chebyshevBRM,0.608843537414966
abalone-21_vs_8,BRM,0.011695906432748574
abalone-21_vs_8,GMM,0.3026315789473684
abalone-21_vs_8,ISOF,0.08771929824561403
abalone-21_vs_8,OCSVM,0.2368421052631579
abalone-21_vs_8,manhattanBRM,0.005847953216374287
abalone-21_vs_8,cosineBRM,0.020467836257309968
abalone-21_vs_8,chebyshevBRM,0.01461988304093568
abalone-20_vs_8-9-10,BRM,0.15608465608465608
abalone-20_vs_8-9-10,GMM,0.5727513227513228
abalone-20_vs_8-9-10,ISOF,0.5304232804232805
abalone-20_vs_8-9-10,OCSVM,0.492063492063492
abalone-20_vs_8-9-10,manhattanBRM,0.1512345679012346
abalone-20_vs_8-9-10,cosineBRM,0.19135802469135801
abalone-20_vs_8-9-10,chebyshevBRM,0.19047619047619047
abalone-19_vs_10-11-12-13,BRM,0.39892183288409705
abalone-19_vs_10-11-12-13,GMM,0.33715184186882297
abalone-19_vs_10-11-12-13,ISOF,0.47978436657681944
abalone-19_vs_10-11-12-13,OCSVM,0.394429469901168
abalone-19_vs_10-11-12-13,manhattanBRM,0.44204851752021557
abalone-19_vs_10-11-12-13,cosineBRM,0.4119496855345912
abalone-19_vs_10-11-12-13,chebyshevBRM,0.39038634321653193
abalone-17_vs_7-8-9-10,BRM,0.16593567251461988
abalone-17_vs_7-8-9-10,GMM,0.5888157894736843
abalone-17_vs_7-8-9-10,ISOF,0.4331140350877193
abalone-17_vs_7-8-9-10,OCSVM,0.48684210526315785
abalone-17_vs_7-8-9-10,manhattanBRM,0.16410818713450293
abalone-17_vs_7-8-9-10,cosineBRM,0.1482090643274854
abalone-17_vs_7-8-9-10,chebyshevBRM,0.1909722222222222
poker-8_vs_6,BRM,0.18407534246575344
poker-8_vs_6,GMM,0.2928082191780822
poker-8_vs_6,ISOF,0.6044520547945206
poker-8_vs_6,OCSVM,0.654109589041096
poker-8_vs_6,manhattanBRM,0.1660958904109589
poker-8_vs_6,cosineBRM,0.523972602739726
poker-8_vs_6,chebyshevBRM,0.13484589041095893
pimaImb,BRM,0.27814814814814814
pimaImb,GMM,0.4935185185185186
pimaImb,ISOF,0.44814814814814813
pimaImb,OCSVM,0.30240740740740746
pimaImb,manhattanBRM,0.29962962962962963
pimaImb,cosineBRM,0.5003703703703704
pimaImb,chebyshevBRM,0.2785185185185185
new-thyroid1,BRM,0.25396825396825395
new-thyroid1,GMM,0.3611111111111111
new-thyroid1,ISOF,0.48214285714285715
new-thyroid1,OCSVM,0.25
new-thyroid1,manhattanBRM,0.2738095238095238
new-thyroid1,cosineBRM,0.27380952380952384
new-thyroid1,chebyshevBRM,0.19444444444444445
lymphography-normal-fibrosis,BRM,0.0
lymphography-normal-fibrosis,GMM,0.4642857142857143
lymphography-normal-fibrosis,ISOF,0.25
lymphography-normal-fibrosis,OCSVM,0.3035714285714286
lymphography-normal-fibrosis,manhattanBRM,0.0
lymphography-normal-fibrosis,cosineBRM,0.0
lymphography-normal-fibrosis,chebyshevBRM,0.5
poker-8-9_vs_5,BRM,0.3063414634146342
poker-8-9_vs_5,GMM,0.45487804878048776
poker-8-9_vs_5,ISOF,0.48902439024390243
poker-8-9_vs_5,OCSVM,0.5475609756097561
poker-8-9_vs_5,manhattanBRM,0.28243902439024393
poker-8-9_vs_5,cosineBRM,0.4590243902439025
poker-8-9_vs_5,chebyshevBRM,0.2990243902439024
poker-8-9_vs_6,BRM,0.36027397260273974
poker-8-9_vs_6,GMM,0.5106164383561644
poker-8-9_vs_6,ISOF,0.5811643835616438
poker-8-9_vs_6,OCSVM,0.5671232876712329
poker-8-9_vs_6,manhattanBRM,0.4
poker-8-9_vs_6,cosineBRM,0.560958904109589
poker-8-9_vs_6,chebyshevBRM,0.12534246575342467
page-blocks-1-3_vs_4,BRM,0.3089887640449438
page-blocks-1-3_vs_4,GMM,0.5
page-blocks-1-3_vs_4,ISOF,0.28370786516853935
page-blocks-1-3_vs_4,OCSVM,0.37453183520599254
page-blocks-1-3_vs_4,manhattanBRM,0.27715355805243447
page-blocks-1-3_vs_4,cosineBRM,0.3389513108614232
page-blocks-1-3_vs_4,chebyshevBRM,0.32958801498127344
poker-9_vs_7,BRM,0.010638297872340441
poker-9_vs_7,GMM,0.4787234042553192
poker-9_vs_7,ISOF,0.43617021276595747
poker-9_vs_7,OCSVM,0.17021276595744683
poker-9_vs_7,manhattanBRM,0.010638297872340441
poker-9_vs_7,cosineBRM,0.2446808510638298
poker-9_vs_7,chebyshevBRM,0.010638297872340441
new-thyroid2,BRM,0.07936507936507936
new-thyroid2,GMM,0.4166666666666667
new-thyroid2,ISOF,0.21230158730158727
new-thyroid2,OCSVM,0.2797619047619047
new-thyroid2,manhattanBRM,0.09523809523809525
new-thyroid2,cosineBRM,0.0992063492063492
new-thyroid2,chebyshevBRM,0.059523809523809534
page-blocks0,BRM,0.33723296032553407
page-blocks0,GMM,0.5
page-blocks0,ISOF,0.30346243278593227
page-blocks0,OCSVM,0.3350167126871094
page-blocks0,manhattanBRM,0.3719208690597297
page-blocks0,cosineBRM,0.2834526231652376
page-blocks0,chebyshevBRM,0.3280046504868479
